"Resource Name","Resource Group","Type","Spent","Location","Meter Name","Meter Category","Meter SubCategory"
"teststoragesql1","testrgsql1","Microsoft.Storage/storageAccounts","1.486632","useast2","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"saitest","testsai","Microsoft.Storage/storageAccounts","0.000528","apsoutheast","Data Transfer In (GB)","Networking",
"rdsstor","rdslabrg","Microsoft.Storage/storageAccounts","0.000624","jawest","Data Transfer Out (GB)","Networking",
"blobazurene","testhotstorage","Microsoft.Storage/storageAccounts","0.0289","uswestcentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"asraz2az","asraz2az","Microsoft.Storage/storageAccounts","0.000072","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
,"2tportalvhdsdczqkv0r16sf","Storage","0.480648","West US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"rdsstor","rdslabrg","Microsoft.Storage/storageAccounts","0.001081","jawest","Data transfer - Geo-Replication (GB)","Networking","Geo Redundant"
"Testvault","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-US","microsoft.backup/BackupVault","4.02398","eastus","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"webapplication2","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"azbckupvtrktest","bckrgrk","Microsoft.RecoveryServices/vaults","0.016129","southeastasia","Protected Instances","Recovery Services","Backup"
"testrgpdiag234","testrgp","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testingvault","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-US","microsoft.backup/BackupVault","0.016129","eastus","Protected Instances","Recovery Services","Backup"
,"kbportalvhdszbzl0n2ck0gz","Storage","0.014600","East Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"wqportalvhds9q1bf8gs1ftq","Storage","0.014600","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"alridgetest","aldridgetesting","Microsoft.Storage/storageAccounts","0.032256","apsoutheast","Premium Storage - Page Blob/P10 (Units)","Storage","Locally Redundant"
"rkcateststrg","rkcagrp","Microsoft.Storage/storageAccounts","0.943488","uksouth","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","0.1958","useast2","Standard IO - Page Blob Read Operation Units (in 10,000s)","Data Management",
"neportallogs","aautomationtest","Microsoft.Storage/storageAccounts","0.000072","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
"teststorage190","testrg345","Microsoft.Storage/storageAccounts","0.0145","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"hydrsggrpdiag901","hydrsggrp","Microsoft.Storage/storageAccounts","0.990792","ukwest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"rdsautostg","rdsauto","Microsoft.Storage/storageAccounts","0.0258","uswest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"rdslabrgdiag897","rdslabrg","Microsoft.Storage/storageAccounts","0.0146","jawest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"storagebhaskar","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","0.025776","apeast","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
,"cspazuretest","Storage","0.000024","Central US","Standard IO - Table (GB)","Storage","Geo Redundant"
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","1.6177","uswest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"storageforautomation","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","2.552976","euwest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"manjurgdisks751","manjurg","Microsoft.Storage/storageAccounts","0.000072","uscentral","Standard IO - Table (GB)","Storage","Locally Redundant"
"asraz2az","asraz2az","Microsoft.Storage/storageAccounts","0.0146","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"automationtest","automationtest","Microsoft.Storage/storageAccounts","0.004776","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
"forsanjaydiag678","forsanjay","Microsoft.Storage/storageAccounts","0.000048","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"storageasr10","asrservers","Microsoft.Storage/storageAccounts","0.0051","apeast","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"storagebhaskar","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","7.045152","apeast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","0.0471","uscentral","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"testmig2newportalv2","testmigratearm","Microsoft.Storage/storageAccounts","0.0051","useast","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"neportallogs","aautomationtest","Microsoft.Storage/storageAccounts","0.0146","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"forsanjaydisks755","forsanjay","Microsoft.Storage/storageAccounts","0.0051","uswest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
,"dgportalvhdsmg7c99qg0rtk","Storage","0.014600","South Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"DEVVM","RTECHRG","Microsoft.Compute/virtualMachines","0.019789","eastus2","Data Transfer In (GB)","Networking",
,"frontendvnet","Virtual Network","24.000000","","Basic Gateway Hours","Networking","Virtual Network"
"manjurgdisks751","manjurg","Microsoft.Storage/storageAccounts","0.0146","uscentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"0qportalvhdshc7f8phrh7ts","Storage","0.000600","East US","Standard IO - Block Blob Write Operation Units (in 10,000s)","Data Management",
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","3.3408","uscentral","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"rkcateststrg","rkcagrp","Microsoft.Storage/storageAccounts","0.0146","uksouth","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testbackupvault9","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-South-Central-US","microsoft.backup/BackupVault","0.445124","southcentralus","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"webapp3","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"rtechrgdiag181","rtechrg","Microsoft.Storage/storageAccounts","0.0146","useast2","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"testazurewebapp098","testwebrg","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"neazurepack","nepartners","Microsoft.Storage/storageAccounts","0.001083","eunorth","Data transfer - Geo-Replication (GB)","Networking","Geo Redundant"
"storageasr10","asrservers","Microsoft.Storage/storageAccounts","0.00168","apeast","Standard IO - Table (GB)","Storage","Locally Redundant"
,"classictwo","Storage","0.000048","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
"ramyarsv","ramya-bvrm-azurelabexam","Microsoft.RecoveryServices/vaults","0.048387","australiasoutheast","Protected Instances","Recovery Services","Backup"
"manjurgdisks751","manjurg","Microsoft.Storage/storageAccounts","0.0051","uscentral","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"saitest","testsai","Microsoft.Storage/storageAccounts","0.000120","apsoutheast","Standard IO - Table (GB)","Storage","Read-Access Geo Redundant"
"labbackup","labexam2","Microsoft.RecoveryServices/vaults","0.032258","eastus","Protected Instances","Recovery Services","Backup"
"rajiv123","rdslabrg","Microsoft.Storage/storageAccounts","0.000120","jawest","Standard IO - Table (GB)","Storage","Read-Access Geo Redundant"
,"0fportalvhdsv7tlx8fmxv27","Storage","0.000048","JA West","Standard IO - Table (GB)","Storage","Locally Redundant"
"vistaragateway11","vistaratest","Microsoft.Storage/storageAccounts","0.301392","uswest","Standard IO - Table (GB)","Storage","Geo Redundant"
"rdsautostg","rdsauto","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"azurebvrm","azurebvrm","Microsoft.Storage/storageAccounts","0.000072","usnorthcentral","Standard IO - Table (GB)","Storage","Locally Redundant"
"labexam","labexam2","Microsoft.RecoveryServices/vaults","0.016129","southeastasia","Protected Instances","Recovery Services","Backup"
"rajiv123","rdslabrg","Microsoft.Storage/storageAccounts","0.000528","jawest","Data Transfer In (GB)","Networking",
"rdsstor","rdslabrg","Microsoft.Storage/storageAccounts","0.0289","jawest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"divademo","divademorg","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
,"0qportalvhdshc7f8phrh7ts","Storage","7.711443","East US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"0qportalvhdshc7f8phrh7ts","Storage","0.000600","East US","Standard IO - Block Blob List Operation Units (in 10,000s)","Data Management",
"teststorageforlt","testresourcegroup","Microsoft.Storage/storageAccounts","0.470760","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"0qportalvhdshc7f8phrh7ts","Storage","3.143600","East US","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"testvault","testrg","Microsoft.RecoveryServices/vaults","0.032258","eastus2","Protected Instances","Recovery Services","Backup"
,"automationsa","Storage","0.015400","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"rktestdemostrg","rktestdemorg","Microsoft.Storage/storageAccounts","0.000072","uksouth","Standard IO - Table (GB)","Storage","Locally Redundant"
"sketchdemo","sketchdemo","Microsoft.Storage/storageAccounts","0.000120","apsoutheast","Standard IO - Table (GB)","Storage","Read-Access Geo Redundant"
"testrgpdisks781","testrgp","Microsoft.Storage/storageAccounts","0.458592","uswest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"asamplelab9418","samplelabrg883310","Microsoft.Storage/storageAccounts","0.000072","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","1.6032","uswest","Standard IO - Page Blob Read Operation Units (in 10,000s)","Data Management",
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","4.747711","useast2","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"gopinathrec","gopinath-bvrm--azurelabexam","Microsoft.RecoveryServices/vaults","0.048387","westus","Protected Instances","Recovery Services","Backup"
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","31.8232","useast2","Standard IO - Page Blob Write Operation Units (in 10,000s)","Data Management",
"storageasr10","asrservers","Microsoft.Storage/storageAccounts","0.0146","apeast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"sketchdemo","sketchdemo","Microsoft.Storage/storageAccounts","0.000528","apsoutheast","Data Transfer In (GB)","Networking",
,"8yportalvhdsc30ms13v4zz2","Storage","0.000048","JA West","Standard IO - Table (GB)","Storage","Locally Redundant"
"neazurepack","nepartners","Microsoft.Storage/storageAccounts","0.000624","eunorth","Data Transfer Out (GB)","Networking",
"testmig2newportalv2","testmigratearm","Microsoft.Storage/storageAccounts","0.0146","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"hydrsggrpdiag901","hydrsggrp","Microsoft.Storage/storageAccounts","0.117048","ukwest","Standard IO - Table (GB)","Storage","Locally Redundant"
"forsanjaydisks755","forsanjay","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"azurestorage123","azureservers","Microsoft.Storage/storageAccounts","0.000072","apeast","Standard IO - Table (GB)","Storage","Locally Redundant"
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","0.000624","uscentral","Data Transfer Out (GB)","Networking",
"scriptfile","scriptfiles","Microsoft.Storage/storageAccounts","0.000072","ussouthcentral","Standard IO - Table (GB)","Storage","Locally Redundant"
"testrgatoreac303","testrg303","Microsoft.Storage/storageAccounts","1.034664","usnorthcentral","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"test112345","testrg345","Microsoft.Storage/storageAccounts","0.000071","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"storageonprem","onpremservers","Microsoft.Storage/storageAccounts","0.0102","apsoutheast","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"nelabdisks744","nelab","Microsoft.Storage/storageAccounts","0.456792","useast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"gopinathteststorage2","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","0.000072","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","0.7194","useast2","Standard IO - Block Blob Write Operation Units (in 10,000s)","Data Management",
"blobazurene","testhotstorage","Microsoft.Storage/storageAccounts","0.000120","uswestcentral","Standard IO - Table (GB)","Storage","Read-Access Geo Redundant"
"DEVVM","RTECHRG","Microsoft.Compute/virtualMachines","0.019660","eastus2","Data Transfer Out (GB)","Networking",
,"teststorage90","Storage","0.014600","South Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"azurebvrm","azurebvrm","Microsoft.Storage/storageAccounts","0.0210","usnorthcentral","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
,"2tportalvhdsdczqkv0r16sf","Storage","0.014600","West US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"poc3105","poc","Microsoft.Storage/storageAccounts","1.427688","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
,"mmkkuu789","Storage","0.000048","West US","Standard IO - Table (GB)","Storage","Geo Redundant"
,"n5portalvhdswj63sl7hq72f","Storage","0.014500","Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"0qportalvhdshc7f8phrh7ts","Storage","0.014600","East US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"hydrsggrpdiag901","hydrsggrp","Microsoft.Storage/storageAccounts","0.0054","ukwest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"testbackupvault","mytestresourcegroup","Microsoft.RecoveryServices/vaults","0.69147","southcentralus","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"ASRVault","ASRservers","Microsoft.RecoveryServices/vaults","2.072959","eastasia","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"rktestdemorgdisks805","rktestdemorg","Microsoft.Storage/storageAccounts","0.536904","uksouth","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"scriptfile","scriptfiles","Microsoft.Storage/storageAccounts","0.0146","ussouthcentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"storageasr10","asrservers","Microsoft.Storage/storageAccounts","3.3408","apeast","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"rtechrgdisks488","rtechrg","Microsoft.Storage/storageAccounts","0.000072","useast2","Standard IO - Table (GB)","Storage","Locally Redundant"
"automationtest","automationtest","Microsoft.Storage/storageAccounts","0.0279","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"forsanjaydiag678","forsanjay","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"gopinathteststorage2","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","0.0152","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"neazurepack","nepartners","Microsoft.Storage/storageAccounts","0.000120","eunorth","Standard IO - Table (GB)","Storage","Read-Access Geo Redundant"
"storageonprem","onpremservers","Microsoft.Storage/storageAccounts","0.017688","apsoutheast","Standard IO - Table (GB)","Storage","Locally Redundant"
"vistaragateway11","vistaratest","Microsoft.Storage/storageAccounts","0.095064","uswest","Standard IO - Page Blob/Disk (GB)","Storage","Geo Redundant"
"hydrsggrpdiag901","hydrsggrp","Microsoft.Storage/storageAccounts","3.3408","ukwest","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"asrserversdisks730","asrservers","Microsoft.Storage/storageAccounts","0.000072","apeast","Standard IO - Table (GB)","Storage","Locally Redundant"
"azurestorage123","azureservers","Microsoft.Storage/storageAccounts","0.0051","apeast","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","0.015960","uscentral","Standard IO - Table (GB)","Storage","Read-Access Geo Redundant"
"blobazurene","testhotstorage","Microsoft.Storage/storageAccounts","0.000624","uswestcentral","Data Transfer Out (GB)","Networking",
"poc3105","poc","Microsoft.Storage/storageAccounts","0.2181","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"HydNetwork","Virtual Network","24.000000","","Basic Gateway Hours","Networking","Virtual Network"
"sketchdemo","sketchdemo","Microsoft.Storage/storageAccounts","0.000096","apsoutheast","Standard IO - Hot Block Blob (GB)","Storage","Read-Access Geo Redundant"
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","0.144","useast2","Standard IO - Block Blob Delete Operation Units (in 10,000s)","Data Management",
"testrg303diag241","testrg303","Microsoft.Storage/storageAccounts","0.000096","usnorthcentral","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"britecstorage","britecsage","Microsoft.Storage/storageAccounts","0.661056","uswest","Standard IO - Table (GB)","Storage","Locally Redundant"
"teststoragehari","rgroup","Microsoft.Storage/storageAccounts","0.000072","ussouthcentral","Standard IO - Table (GB)","Storage","Locally Redundant"
"manjustorageaccount","manjurg","Microsoft.Storage/storageAccounts","4.532496","uscentral","Standard IO - Page Blob/Disk (GB)","Storage","Read-Access Geo Redundant"
"rdsautostg","rdsauto","Microsoft.Storage/storageAccounts","5.139624","uswest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"AutomationTest","resourcegrp-bhaskar","Microsoft.RecoveryServices/vaults","0.016129","eastasia","Protected Instances","Recovery Services","Backup"
"forsample599","forsample","Microsoft.Storage/storageAccounts","0.024168","eunorth","Standard IO - Table (GB)","Storage","Locally Redundant"
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","4.464384","uswest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"storageonprem","onpremservers","Microsoft.Storage/storageAccounts","0.0146","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","0.0003","uswest","Standard IO - Block Blob List Operation Units (in 10,000s)","Data Management",
"asrserversdisks730","asrservers","Microsoft.Storage/storageAccounts","0.0146","apeast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"MyTestVnet1","Virtual Network","24.000000","","Standard Gateway Hours","Networking","Virtual Network"
"rktestdemorgdisks805","rktestdemorg","Microsoft.Storage/storageAccounts","0.0146","uksouth","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"MyTestVnet2","Virtual Network","24.000000","","Standard Gateway Hours","Networking","Virtual Network"
"saitest","testsai","Microsoft.Storage/storageAccounts","0.000624","apsoutheast","Data Transfer Out (GB)","Networking",
"testlaptopMARS","testlaptop","Microsoft.RecoveryServices/vaults","0.027635","southeastasia","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"webapplication3","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"testvmasr","ASRservers","Microsoft.RecoveryServices/vaults","0.442225","northeurope","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"sudhakarp445","sudhakarprg832351","Microsoft.Storage/storageAccounts","0.000072","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"rdslabrgdisksad276","rdslabrg","Microsoft.Storage/storageAccounts","0.000072","jawest","Standard IO - Table (GB)","Storage","Locally Redundant"
"Testvault","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-US","microsoft.backup/BackupVault","0.064516","eastus","Protected Instances","Recovery Services","Backup"
,"vg1","Storage","0.000048","West US","Standard IO - Table (GB)","Storage","Locally Redundant"
"teststoragesql1","testrgsql1","Microsoft.Storage/storageAccounts","0.02472","useast2","Standard IO - Table (GB)","Storage","Locally Redundant"
"azurebvrm","azurebvrm","Microsoft.Storage/storageAccounts","0.0146","usnorthcentral","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"nelabdiag609","nelab","Microsoft.Storage/storageAccounts","0.000052","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"hydrsggrpdiag901","hydrsggrp","Microsoft.Storage/storageAccounts","0.0146","ukwest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"poc3105","poc","Microsoft.Storage/storageAccounts","6.6584","apsoutheast","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"rdslabrgdiag897","rdslabrg","Microsoft.Storage/storageAccounts","0.000072","jawest","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"teststorage90","Storage","0.000048","South Central US","Standard IO - Table (GB)","Storage","Geo Redundant"
"britecstorage","britecsage","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"sketchdemo","sketchdemo","Microsoft.Storage/storageAccounts","0.000624","apsoutheast","Data Transfer Out (GB)","Networking",
"asrserversdisks730","asrservers","Microsoft.Storage/storageAccounts","0.0051","apeast","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
,"vg1","Storage","0.100320","West US","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"vistaragateway11","vistaratest","Microsoft.Storage/storageAccounts","0.0146","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"hydrsggrpdiag901","hydrsggrp","Microsoft.Storage/storageAccounts","0.018768","ukwest","Data Transfer Out (GB)","Networking",
"gopinathstorage","gopinath-bvrm--azurelabexam","Microsoft.Storage/storageAccounts","0.0003","uswest","Standard IO - Block Blob Write Operation Units (in 10,000s)","Data Management",
"vistaragateway11","vistaratest","Microsoft.Storage/storageAccounts","0.144","uswest","Standard IO - Block Blob Delete Operation Units (in 10,000s)","Data Management",
"forsample599","forsample","Microsoft.Storage/storageAccounts","0.0146","eunorth","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"asamplelab9418","samplelabrg883310","Microsoft.Storage/storageAccounts","0.0151","uswest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"asraz2az","asraz2az","Microsoft.Storage/storageAccounts","0.643128","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
"asraz2az","asraz2az","Microsoft.Storage/storageAccounts","0.0064","apsoutheast","Standard IO - Block Blob List Operation Units (in 10,000s)","Data Management",
"rdsstor","rdslabrg","Microsoft.Storage/storageAccounts","0.000528","jawest","Data Transfer In (GB)","Networking",
,"classictwo","Storage","0.014600","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"rdslabrgdisksad276","rdslabrg","Microsoft.Storage/storageAccounts","0.0146","jawest","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"9yportalvhds5hm5fg5gr47m","Storage","0.000024","North Central US","Standard IO - Table (GB)","Storage","Locally Redundant"
"azurestorage123","azureservers","Microsoft.Storage/storageAccounts","0.0146","apeast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"azbckupvtrktest","bckrgrk","Microsoft.RecoveryServices/vaults","0.000761","southeastasia","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
,"0fportalvhdsv7tlx8fmxv27","Storage","0.014600","JA West","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"storageonprem","onpremservers","Microsoft.Storage/storageAccounts","3.3290","apsoutheast","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
"testingvault","RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-US","microsoft.backup/BackupVault","0.002803","eastus","Standard IO - Block Blob (GB)","Storage","Geo Redundant"
"britecstorage","britecsage","Microsoft.Storage/storageAccounts","0.0210","uswest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"storageforautomation","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","0.279096","euwest","Standard IO - Table (GB)","Storage","Locally Redundant"
"teststoreac666","testazurerg","Microsoft.Storage/storageAccounts","0.000072","ukwest","Standard IO - Table (GB)","Storage","Locally Redundant"
"automationtest","automationtest","Microsoft.Storage/storageAccounts","0.050832","apsoutheast","Standard IO - Block Blob (GB)","Storage","Locally Redundant"
"rkcateststrg","rkcagrp","Microsoft.Storage/storageAccounts","0.000072","uksouth","Standard IO - Table (GB)","Storage","Locally Redundant"
"nelabdiag609","nelab","Microsoft.Storage/storageAccounts","0.0146","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"webapp123","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
"rtechrgdisks488","rtechrg","Microsoft.Storage/storageAccounts","0.0200","useast2","Storage Transactions (in 10,000s)","Data Management",
"sketchdemo","sketchdemo","Microsoft.Storage/storageAccounts","0.001083","apsoutheast","Geo-Replicated Data Transfer (GB)","Data Management",
"test112345","testrg345","Microsoft.Storage/storageAccounts","0.0152","useast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"azureratecard","assessmentautomation","Microsoft.Sql/servers","0.999999999999999936","westus","Standard S0 Database Days","Data Services","SQL Database"
"nelabdisks744","nelab","Microsoft.Storage/storageAccounts","0.000072","useast","Standard IO - Table (GB)","Storage","Locally Redundant"
"storagebhaskar","resourcegrp-bhaskar","Microsoft.Storage/storageAccounts","0.413712","apeast","Standard IO - Table (GB)","Storage","Locally Redundant"
"manjurgdisks751","manjurg","Microsoft.Storage/storageAccounts","0.462264","uscentral","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"0qportalvhdshc7f8phrh7ts","Storage","0.000600","East US","Standard IO - Block Blob Delete Operation Units (in 10,000s)","Data Management",
"rtechstr","rtechrg","Microsoft.Storage/storageAccounts","0.0001","useast2","Standard IO - File Write Operation Units (in 10,000s)","Data Management",
"automationtest","automationtest","Microsoft.Storage/storageAccounts","1.593648","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"ThroughScript","Storage","0.014600","East US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"DEVVM","RTECHRG","Microsoft.Compute/virtualMachines","13.950279","eastus2","Compute Hours","Virtual Machines","Standard_D1_v2 VM (Windows)"
"rdslabrgdisksad276","rdslabrg","Microsoft.Storage/storageAccounts","0.0156","jawest","Standard IO - Block Blob Read Operation Units (in 10,000s)","Data Management",
"britecstorage","britecsage","Microsoft.Storage/storageAccounts","6.6700","uswest","Standard IO - Table Read Operation Units (in 10,000s)","Data Management",
,"8yportalvhdsc30ms13v4zz2","Storage","0.014600","JA West","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"0qportalvhdshc7f8phrh7ts","Storage","3.137600","East US","Standard IO - Page Blob Read Operation Units (in 10,000s)","Data Management",
"rtechrgdiag181","rtechrg","Microsoft.Storage/storageAccounts","0.000120","useast2","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
